Id,Title,Slug,PublishedAt,Category,ImageUrl,Summary
189,Năm 2014,nam-2014-3,2015-05-11 21:03:07.000,NULL,NULL,"Giỗ tổ dòng họ năm 2014, Ngày 6 tháng 3 năm Giáp Ngọ có sự kiện trọng đại là dòng họ làm lễ tấu trình lên Tổ tiên bản gia phả dòng họ và Website donghoduongvan.com."
196,Cây Nhội bên nhà,cay-nhoi-ben-nha-2,2015-05-14 08:28:23.000,Văn thơ,NULL,"Gốc rễ ở chốn quê nhà

Gặp người tri kỷ mới ra thị thành

Bạc đầu tôn bác làm anh

Mẹ không nhớ tuổi nên đành xưng em
"
154,Quê hương,que-huong-2,2016-02-19 17:10:44.000,Văn thơ,NULL,"Xa quê mấy chục năm rồi

Trở về bồi hồi nhớ kỷ niệm xưa

Những ngày dầu dãi nắng mưa

Mò cua bắt ốc sớm trưa nhọc nhằn"
155,Ông giáo già,ong-giao-gia-2,2015-12-26 21:02:40.000,Văn thơ,NULL,"Xa trường, xa lớp đã lâu

Nhớ lại năm xưa buổi ban đầu

Ngày vui ríu rít đàn em nhỏ

Chong đèn giáo án soạn đêm thâu"
156,Cổng trời,cong-troi-2,2015-06-19 20:24:28.000,Văn thơ,NULL,"Qua dốc “ chín khoanh ” tới cổng trời

Gió ngàn lồng lộng áng mây trôi

Trời xanh, xanh ngắt, cao vời vợi

Nắng trải mênh mông, núi, núi đồi.
"
157,Đường tới bản Mèo,uong-toi-ban-meo-2,2015-05-14 08:23:19.000,Văn thơ,NULL,"0Có phải đường kia tới Bản Mèo

Vắt ngang sườn núi đá cheo leo

Mây giăng, giăng lối sương mờ ảo

Thấp thoáng bóng ai giữa lưng đèo"
210,Lên Đồng Văn,len-ong-van-2,2015-08-28 17:28:49.000,Văn thơ,NULL,"Ta lên, lên tận thượng ngàn

Lối nghiêng vách đá, gió đàn, thông ca.

Cổng trời ngực nữ tiên sa

Thang trời lơ lửng là là mây bay."
211,Sông Lô,song-lo-2,2015-08-28 17:31:03.000,Văn thơ,NULL,"        Sông Lô có từ bao giờ
Khi trong, khi đục đôi bờ cây xanh
Chắn mưa sa, giữ bờ thành
Long lanh đáy nước trong xanh mây trời
"
212,Xuân,xuan-2,2015-08-28 17:32:50.000,Văn thơ,NULL,"Cao Nguyên Đá thật phong tình

Dòng sông Nho Quế ẩn mình sương sa.

Mênh mông đá lác đác nhà

Trắng hoa Bạc Hà tim tím Hương Nhu"
213,Gót chân diệu kỳ,got-chan-dieu-ky-2,2015-12-24 15:55:06.000,Văn thơ,NULL,"Miệng ngọng ngẹo, chân tay co quắp

Mà gót chân linh hoạt đến diệu kỳ

Điện thoại để bàn, máy tính, ti vi

Rà bàn phím tìm chương trình bằng gót."
214,Thăm Thành Quảng Trị,tham-thanh-quang-tri-2,2015-08-28 17:37:03.000,Văn thơ,NULL,"Tám mốt ngày đêm bom đạn xới nhào

Thành Quảng Trị đã là nơi thiên cổ

Thân thể của anh đâu nguyên một chỗ

Máu xương giờ không của riêng ai"
215,Thú vui chơi mộc,thu-vui-choi-moc-2,2015-12-24 15:57:58.000,Văn thơ,NULL,"Thân lụi tàn bởi tạo hóa vần xoay

Gốc vẫn ở trong lòng đất mẹ

Năm tháng dài tẩy trần sạch sẽ

Hóa thân thành dáng thế sinh linh."
216,MẸ TÔI,me-toi-2,2015-12-24 16:04:10.000,Văn thơ,NULL,"Con biết mẹ đau xót

Thương con gái tật nguyền

Bố đau yếu liên miên

Mẹ sớm hôm cực nhọc."
217,Không ngủ,khong-ngu-4,2015-08-28 17:42:16.000,Văn thơ,NULL,"Năm canh dài thao thức

Cùng trăng khuyết đêm thâu

Lơ đãng nhìn về đâu

Cõi lòng sao cô quạnh."
218,THÀNH PHỐ TRẺ VÀO XUÂN,thanh-pho-tre-vao-xuan-2,2015-12-24 16:09:32.000,Văn thơ,NULL,"Rồng vàng bay lượn trong mây

Mừng thành phố trẻ tràn đầy sức xuân

Quảng trường đường phố trước sân

Cúc vàng cạnh đào Nhật Tân thắm hồng"
219,NHỊP CẦU BẮC DỞ,nhip-cau-bac-do-2,2015-12-24 16:08:30.000,Văn thơ,NULL,"Nếu còn có chuyến đò ngang

Muộn anh cũng đợi, anh sang bên bờ

Bấy lâu anh đợi anh chờ

Nhịp cầu bắc dở mãi giờ chưa xong."
220,NẾU ANH ĐỪNG VỀ QUÊ,neu-anh-ung-ve-que-2,2015-12-24 16:07:32.000,Văn thơ,NULL," Nếu anh đừng về quê

Thì em đâu có biết

  Đừng nói lời tha thiết

Thì em đâu đợi chờ"
221,ANH EM HỌ DƯƠNG,anh-em-ho-duong-2,2015-12-24 16:06:01.000,Văn thơ,NULL,"Sinh ra trong cảnh bần hàn

Đói cơm rách áo, cơ hàn lắm thay

Mò của, nhặt, mót tối ngày

Thân gầy, da sạm, chân tay trai sần"
222,Tặng cháu Diệu Linh,tang-chau-dieu-linh-2,2015-08-30 08:42:12.000,Văn thơ,NULL,"Cháu gái có tên Diệu Linh

Tóc đen, da trắng xinh xinh miệng cười

Hồn nhiên nhí nhảnh vui tươi

Chăm ngoan học giỏi mọi người yêu thương"
223,Ngã ba Đồng Lộc,nga-ba-ong-loc-2,2015-08-30 08:44:38.000,Văn thơ,NULL,"Bông hoa huệ trắng trong tinh khiết

Nén nhang trầm không bỏ mặc thời gian

Các chị nằm đây giữa non ngàn

Trong giấc ngủ của ngàn thu vời vợi"
224,Biết về anh,biet-ve-anh-2,2015-12-24 15:59:29.000,Văn thơ,NULL,"Người dũng sĩ năm xưa

Xông pha khắp chiến trường

Vì đất nước quê hương

Hy sinh niềm hạnh phúc."
